"environment","genotype","row","range","replicate","predicted.values","standard.errors","date","trait"
"DG2F","2369/3IIH6","Excluded","Excluded","Averaged",10.2876965005053,0.579457223920227,NA,"grain_yield"
"DG2F","2369/LH123HT","Excluded","Excluded","Averaged",10.5616783662899,0.275679807138916,NA,"grain_yield"
"DG2F","2369/PHN82","Excluded","Excluded","Averaged",11.166849691534,0.576550574754031,NA,"grain_yield"
"DG2F","2369/PHZ51","Excluded","Excluded","Averaged",8.91549821247028,0.577509596148803,NA,"grain_yield"
"DG2F","B14A/H95","Excluded","Excluded","Averaged",11.2976541124696,0.580550934973946,NA,"grain_yield"
"DG2F","B14A/MO17","Excluded","Excluded","Averaged",11.4246561785798,0.578467257103476,NA,"grain_yield"
"DG2F","B14A/OH43","Excluded","Excluded","Averaged",10.7928863725633,0.583302666682108,NA,"grain_yield"
"DG2F","B37/H95","Excluded","Excluded","Averaged",10.2936823684316,0.576529726002275,NA,"grain_yield"
"DG2F","B37/MO17","Excluded","Excluded","Averaged",10.8393568016202,0.57701347505299,NA,"grain_yield"
"DG2F","B37/OH43","Excluded","Excluded","Averaged",10.0829461813902,0.578519687437307,NA,"grain_yield"
"DG2F","B73/MO17","Excluded","Excluded","Averaged",10.7199232071315,0.579097165822379,NA,"grain_yield"
"DG2F","B73/PHM49","Excluded","Excluded","Averaged",10.8830251180966,0.575192816149611,NA,"grain_yield"
"DG2F","B73/PHN82","Excluded","Excluded","Averaged",12.2716670239727,0.578858785328116,NA,"grain_yield"
"DG2F","B73/PHZ51","Excluded","Excluded","Averaged",9.82768476873317,0.57863684041823,NA,"grain_yield"
"DG2F","B73/TX6252","Excluded","Excluded","Averaged",8.87859774224107,0.581806236415123,NA,"grain_yield"
"DG2F","B73/TX775","Excluded","Excluded","Averaged",12.0251439947926,0.579054354955875,NA,"grain_yield"
"DG2F","B73/TX777","Excluded","Excluded","Averaged",11.6518824790628,0.579192305181009,NA,"grain_yield"
"DG2F","B73/TX779","Excluded","Excluded","Averaged",11.2390206959501,0.579425698263535,NA,"grain_yield"
"DG2F","B97/PHB47","Excluded","Excluded","Averaged",8.95128909325806,0.576046920697151,NA,"grain_yield"
"DG2F","BH8900VIP3111 (2016)","Excluded","Excluded","Averaged",12.2358183124879,0.581789072591456,NA,"grain_yield"
"DG2F","CG44/CGR01","Excluded","Excluded","Averaged",5.60735904153945,0.578514735403115,NA,"grain_yield"
"DG2F","CG60/LH162","Excluded","Excluded","Averaged",5.13585059958436,0.578413842303816,NA,"grain_yield"
"DG2F","CGR03/CG108","Excluded","Excluded","Averaged",8.57746578320398,0.578444577073397,NA,"grain_yield"
"DG2F","DKB 64-69","Excluded","Excluded","Averaged",13.3886112091109,0.585984930549937,NA,"grain_yield"
