"plot_id","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-001","NILASQ4G71I08S3/LH123HT","DG2F",5,3,343,8.545346697
"CS17-DG2F-002","NILASQ4G71I10S2/LH123HT","DG2F",5,3,345,10.98050333
"CS17-DG2F-003","NILASQ4G71I01S2/LH123HT","DG2F",5,3,347,10.9074688
"CS17-DG2F-004","NILASQ4G71I07S2/LH123HT","DG2F",5,3,349,10.49983115
"CS17-DG2F-005","NILASQ4G71I06S2/LH123HT","DG2F",5,3,351,11.11133551
"CS17-DG2F-006","NILASQ4G71I11S3/LH123HT","DG2F",5,3,353,11.45611639
"CS17-DG2F-007","NILASQ4G71I12S3/LH123HT","DG2F",5,3,355,11.65677698
"CS17-DG2F-008","NILASQ4G71I05S2/LH123HT","DG2F",5,3,357,11.94707002
"CS17-DG2F-009","NILASQ4G71I03S2/LH123HT","DG2F",5,3,359,11.64412965
"CS17-DG2F-010","NILASQ4G71I09S2/LH123HT","DG2F",5,3,361,10.44629794
"CS17-DG2F-011","NILASQ4G71I04S2/LH123HT","DG2F",5,3,363,10.97398878
"CS17-DG2F-012","2369/LH123HT","DG2F",5,3,365,10.70245634
"CS17-DG2F-013","2369/LH123HT","DG2F",5,3,367,8.368569985
"CS17-DG2F-014","NILASQ4G71I02S2/LH123HT","DG2F",5,3,369,11.84400952
"CS17-DG2F-015","NILASQ4G41I07S2/LH123HT","DG2F",5,3,371,10.94736098
"CS17-DG2F-016","NILASQ4G41I12S3/LH123HT","DG2F",5,3,373,9.795090181
"CS17-DG2F-017","NILASQ4G41I03S2/LH123HT","DG2F",5,3,375,8.726915624
"CS17-DG2F-018","NILASQ4G41I05S3/LH123HT","DG2F",5,3,377,9.262787079
"CS17-DG2F-019","NILASQ4G41I04S3/LH123HT","DG2F",5,3,379,9.769856891
"CS17-DG2F-020","NILASQ4G41I01S2/LH123HT","DG2F",5,3,381,10.23916
"CS17-DG2F-021","NILASQ4G41I06S3/LH123HT","DG2F",5,3,383,10.92766529
"CS17-DG2F-022","2369/LH123HT","DG2F",5,3,385,10.54409938
"CS17-DG2F-023","NILASQ4G41I09S2/LH123HT","DG2F",5,3,387,10.36961554
"CS17-DG2F-024","NILASQ4G41I08S2/LH123HT","DG2F",5,3,389,9.240689234
"CS17-DG2F-025","NILASQ4G41I02S3/LH123HT","DG2F",5,3,391,10.5960079
"CS17-DG2F-026","2369/LH123HT","DG2F",5,3,393,9.528673584
"CS17-DG2F-027","NILASQ4G41I10S2/LH123HT","DG2F",5,3,395,10.49532397
"CS17-DG2F-028","NILASQ4G41I11S2/LH123HT","DG2F",5,3,397,8.970321595
"CS17-DG2F-029","NILASQ4G21I10S2/LH123HT","DG2F",5,4,397,9.42139467
"CS17-DG2F-030","NILASQ4G21I04S2/LH123HT","DG2F",5,4,395,9.800584533
