"genotype","date","trait","DG2F","G2FE","yield_difference","proportional_reduction"
"2369/3IIH6",NA,"grain_yield",10.2876965005053,10.8456917909963,0.557995290491,0.0514485660522114
"2369/LH123HT",NA,"grain_yield",10.5616783662899,11.3390015346154,0.7773231683255,0.0685530525727956
"2369/PHN82",NA,"grain_yield",11.166849691534,13.5750355770845,2.4081858855505,0.177398127016011
"2369/PHZ51",NA,"grain_yield",8.91549821247028,10.3954907813243,1.47999256885402,0.142368705815492
"B14A/H95",NA,"grain_yield",11.2976541124696,12.4793874051486,1.181733292679,0.0946948158842681
"B14A/MO17",NA,"grain_yield",11.4246561785798,12.6246917041962,1.2000355256164,0.0950546400445986
"B14A/OH43",NA,"grain_yield",10.7928863725633,13.0995814006783,2.306695028115,0.176089216713105
"B37/H95",NA,"grain_yield",10.2936823684316,11.0599377709015,0.7662554024699,0.069282071774934
"B37/MO17",NA,"grain_yield",10.8393568016202,12.0075497769873,1.1681929753671,0.0972882059257388
"B37/OH43",NA,"grain_yield",10.0829461813902,10.3551073868009,0.272161205410699,0.026282798936263
"B73/MO17",NA,"grain_yield",10.7199232071315,11.7436916371136,1.0237684299821,0.0871760313210783
"B73/PHM49",NA,"grain_yield",10.8830251180966,11.6422802685735,0.759255150476902,0.0652153300695217
"B73/PHN82",NA,"grain_yield",12.2716670239727,12.7621391323717,0.490472108399,0.0384318101622084
"B73/PHZ51",NA,"grain_yield",9.82768476873317,11.3248496926291,1.49716492389593,0.132201747884599
"B73/TX6252",NA,"grain_yield",8.87859774224107,11.8036301302937,2.92503238805263,0.247807865526522
"B73/TX775",NA,"grain_yield",12.0251439947926,13.5361521596903,1.5110081648977,0.111627598971396
"B73/TX777",NA,"grain_yield",11.6518824790628,12.5313292787552,0.879446799692399,0.0701798492505784
"B73/TX779",NA,"grain_yield",11.2390206959501,14.0189957955331,2.779975099583,0.198300587298042
"B97/PHB47",NA,"grain_yield",8.95128909325806,9.69777983320523,0.74649073994717,0.0769754266219969
"CG44/CGR01",NA,"grain_yield",5.60735904153945,7.21824150909164,1.61088246755219,0.22316826965726
"CG60/LH162",NA,"grain_yield",5.13585059958436,3.61699996394727,-1.51885063563709,-0.419920002979362
"CGR03/CG108",NA,"grain_yield",8.57746578320398,7.74297021577656,-0.83449556742742,-0.107774606407126
"DKB 64-69",NA,"grain_yield",13.3886112091109,14.0195806301493,0.630969421038399,0.0450062978118968
"DKB 64-69 (2016)",NA,"grain_yield",14.7117842284029,14.2821573307724,-0.4296268976305,-0.0300813727002449
"F42/H95",NA,"grain_yield",9.93555585365152,11.6741297703179,1.73857391666638,0.14892535468355
"F42/MO17",NA,"grain_yield",10.6033706364109,12.5366232653509,1.93325262894,0.154208401099775
"F42/OH43",NA,"grain_yield",11.0054667616601,12.3342280044279,1.3287612427678,0.107729583261375
"G6611 VTTP (2017)",NA,"grain_yield",13.4888788105658,14.3861356202653,0.897256809699499,0.0623695503353633
"G7601VTTP (2017)",NA,"grain_yield",12.5402652872074,14.1093694880268,1.5691042008194,0.11121008647133
"GEMN-0260/3IIH6",NA,"grain_yield",8.96539474462743,9.34131978009167,0.37592503546424,0.0402432465983464
"GEMN-0268/3IIH6",NA,"grain_yield",9.06571083795257,10.3072321048082,1.24152126685563,0.120451470795586
"LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195 ",NA,"grain_yield",12.6519869755034,13.1341386911015,0.4821517155981,0.0367098084570069
